epoch,step,train_loss_epoch,train_loss_step,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
0,4,,0.0001340975722996518,,,,,
0,5,,,0.00011698382877511904,3457.669677734375,0.0001462731888750568,0.5598018169403076,0.00011678988084895536
0,5,0.00019055696611758322,,,,,,
1,9,,0.00010939949424937367,,,,,
1,11,,,0.00010123104584636167,2985.0810546875,0.0001368026714771986,0.5597249865531921,9.30648238863796e-05
1,11,0.0001104436450987123,,,,,,
2,14,,7.775065023452044e-05,,,,,
2,17,,,6.282432877924293e-05,1776.9671630859375,8.427676948485896e-05,0.559440553188324,5.153028905624524e-05
2,17,7.593084592372179e-05,,,,,,
3,19,,5.7515291700838134e-05,,,,,
3,23,,,4.2682280763983727e-05,1165.48388671875,5.644008342642337e-05,0.559278130531311,4.030890340800397e-05
3,23,5.645060446113348e-05,,,,,,
4,24,,4.709321729023941e-05,,,,,
4,29,,3.937403380405158e-05,,,,,
4,29,,,5.023909761803225e-05,1319.70263671875,6.51346636004746e-05,0.5589105486869812,3.908144935849123e-05
4,29,4.424164944794029e-05,,,,,,
